                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5382,                 2.2724,                 1.7466,                0.46876,                0.41802,                0.40342,                0.23445,                 1.5749,                 1.9437,                 1.8308,               0.006634,               0.006634,               0.006634
                     36,                 1.5456,                 2.2656,                 1.7556,                0.46958,                0.41523,                0.40831,                0.23703,                 1.5734,                  1.935,                 1.8287,               0.006535,               0.006535,               0.006535
                     37,                 1.5362,                 2.2623,                 1.7463,                0.48602,                0.42291,                0.41394,                0.23859,                  1.569,                  1.929,                   1.82,               0.006436,               0.006436,               0.006436
                     38,                 1.5305,                 2.2378,                 1.7435,                0.47919,                0.42923,                 0.4155,                0.24183,                 1.5592,                 1.9074,                 1.8103,               0.006337,               0.006337,               0.006337
                     39,                 1.5221,                 2.2292,                 1.7361,                0.48844,                0.42142,                0.41668,                0.24224,                  1.553,                  1.898,                 1.8088,               0.006238,               0.006238,               0.006238
                     40,                 1.5187,                  2.224,                 1.7366,                0.50048,                0.42373,                0.42247,                0.24588,                  1.552,                 1.8905,                 1.8134,               0.006139,               0.006139,               0.006139
                     41,                 1.5158,                 2.2122,                 1.7317,                0.49506,                0.42586,                0.42634,                0.24953,                 1.5449,                 1.8786,                 1.8106,                0.00604,                0.00604,                0.00604
                     42,                 1.5135,                 2.2058,                 1.7318,                0.50181,                0.42715,                 0.4273,                 0.2509,                 1.5377,                 1.8652,                  1.806,               0.005941,               0.005941,               0.005941
                     43,                 1.5024,                 2.1901,                 1.7193,                0.51044,                0.43436,                0.43175,                0.25369,                 1.5364,                 1.8563,                 1.8015,               0.005842,               0.005842,               0.005842
                     44,                 1.4973,                 2.1855,                 1.7131,                0.52242,                0.42294,                0.43469,                0.25507,                 1.5341,                 1.8496,                 1.7978,               0.005743,               0.005743,               0.005743
                     45,                 1.5048,                 2.1824,                 1.7182,                0.52831,                0.42359,                0.43732,                0.25738,                 1.5284,                 1.8395,                 1.7946,               0.005644,               0.005644,               0.005644
                     46,                 1.4953,                 2.1796,                 1.7115,                0.52258,                0.43049,                0.43882,                 0.2588,                 1.5249,                 1.8309,                 1.7896,               0.005545,               0.005545,               0.005545
                     47,                 1.4975,                 2.1599,                 1.7046,                0.51741,                0.43739,                0.44062,                0.25987,                 1.5238,                 1.8255,                 1.7868,               0.005446,               0.005446,               0.005446
                     48,                 1.4947,                 2.1545,                 1.7062,                0.51483,                0.44356,                0.44123,                0.26019,                 1.5217,                 1.8208,                 1.7856,               0.005347,               0.005347,               0.005347
                     49,                 1.4865,                 2.1517,                 1.7026,                0.50476,                0.45405,                 0.4425,                0.26183,                 1.5179,                  1.812,                  1.782,               0.005248,               0.005248,               0.005248
